p_val	avg_log2FC	pct.1	pct.2	p_val_adj
5.03187006623942e-132	0.748273559938717	0.642	0.5	1.74198309823142e-127
1.49582249690019e-278	0.730170217916521	0.775	0.633	5.17838790201876e-274
1.09575279508226e-141	0.705201071247693	0.36	0.192	3.79338660129528e-137
9.53948361116283e-238	0.697768170764615	0.568	0.349	3.30247383134846e-233
6.17686921442489e-101	0.696877251208377	0.255	0.129	2.13837035334175e-96
4.59402622277403e-31	0.695946178081504	0.662	0.638	1.59040593806214e-26
1.7105764809208e-190	0.692216895995982	0.33	0.141	5.9218447192997e-186
3.34548237231255e-137	0.68875403692144	0.421	0.264	1.15817254247088e-132
0	0.680961068846399	0.252	0.004	0
4.55409891921893e-189	0.676394156611852	0.62	0.434	1.5765835048444e-184
2.66789795078831e-77	0.671046006931258	0.353	0.239	9.23599591583404e-73
5.82638639123847e-07	0.633003816602843	0.433	0.444	0.0201703670478285
6.9590973868486e-104	0.630101856554124	0.429	0.293	2.40916992435312e-99
1.48009872750825e-197	0.62806710381316	0.323	0.126	5.12395378476082e-193
5.83757178786559e-144	0.625531407667804	0.35	0.174	2.02090897724119e-139
1.55759497812244e-60	0.625259282845541	0.761	0.702	5.39223805476208e-56
2.60008803186842e-81	0.609707754432685	0.386	0.266	9.0012447575253e-77
6.7505719172788e-99	0.609179776213885	0.397	0.255	2.33698049204275e-94
2.71155643634967e-93	0.608975114358306	0.372	0.241	9.38713722699892e-89
1.67776680342147e-187	0.603973041285655	0.272	0.089	5.80826089676479e-183
2.67326418125822e-116	0.603921047007236	0.25	0.111	9.25457326909784e-112
2.45835509283e-98	0.584099010098986	0.577	0.457	8.51057949586817e-94
5.33110665527674e-72	0.581429601129143	0.682	0.617	1.84557581299026e-67
8.97296203603748e-89	0.580645263323317	0.535	0.425	3.10634972725581e-84
1.10885915243038e-208	0.569583571687328	0.296	0.094	3.83875949979872e-204
6.40173067090542e-74	0.562361963056775	0.418	0.307	2.21621514096075e-69
1.2251742726045e-109	0.560700068627183	0.685	0.614	4.2414308143295e-105
6.66968390607178e-102	0.560175819768811	0.716	0.616	2.30897787144299e-97
1.22525752264605e-77	0.556941301263342	0.441	0.339	4.24171901764835e-73
3.92133335787399e-155	0.551549542013284	0.681	0.544	1.3575263951624e-150
9.48393795389673e-79	0.550905617424789	0.342	0.215	3.28324448025951e-74
4.3493121998321e-198	0.54768513246296	0.753	0.605	1.50568839045987e-193
7.91305771217695e-124	0.543853760620392	0.351	0.194	2.73942144937854e-119
1.02965045665703e-149	0.537957232729782	0.592	0.432	3.56454691590099e-145
4.17766795701564e-91	0.535790449532043	0.361	0.225	1.44626687003924e-86
5.58110205632919e-90	0.534803941015897	0.414	0.279	1.9321217208806e-85
1.57904679996671e-55	0.528348920506112	0.519	0.436	5.46650211680474e-51
7.59804038926477e-130	0.524159514816654	0.32	0.164	2.63036560235957e-125
3.78923007733374e-50	0.522868552807324	0.478	0.41	1.31179356047217e-45
2.61682295081968e-88	0.522237323405571	0.529	0.417	9.05917937344265e-84
1.42897286977179e-82	0.520865055004587	0.542	0.437	4.94696117786296e-78
3.68266564205463e-44	0.517544952910587	0.555	0.494	1.27490201862289e-39
1.96527174519614e-74	0.516134148335281	0.344	0.236	6.80357425469452e-70
1.6515665427144e-83	0.508333579450377	0.298	0.177	5.71755821422296e-79
1.8096080606854e-170	0.507285349941752	0.273	0.098	6.26468214528678e-166
1.40611561972433e-89	0.502506225276762	0.669	0.633	4.86783166392364e-85
2.65854848611774e-56	0.496587109448312	0.27	0.179	9.20362900409099e-52
8.59315063725783e-92	0.49642901468581	0.275	0.155	2.97486281911229e-87
3.57294086467644e-93	0.490688043164132	0.397	0.268	1.23691639794234e-88
8.52062067925734e-127	0.490289333913841	0.615	0.49	2.9497536729521e-122
3.76434068536212e-109	0.489145949067133	0.585	0.455	1.30317710186551e-104
4.54202190171657e-94	0.485598636866352	0.377	0.242	1.57240256215526e-89
2.52867640402599e-128	0.481918774838445	0.435	0.279	8.75402484309758e-124
3.32869759759456e-70	0.476290604368113	0.281	0.175	1.15236182131126e-65
7.49926657578448e-27	0.473214582796482	0.428	0.365	2.59617109587083e-22
6.61107945540937e-92	0.471815177681837	0.965	0.945	2.28868959666817e-87
2.99973966447918e-82	0.470642611328346	0.284	0.166	1.03847987444605e-77
1.0206808863967e-113	0.469977587090038	0.394	0.242	3.53349516061673e-109
2.71564538816084e-97	0.469779019042568	0.687	0.601	9.401292769274e-93
