"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"expression"
"MAF"	-1.86193098592285	5.94081399621379	-24.7016797401857	6.15588554091655e-10	2.6333931284727e-07	13.59639661709	"Down"
"MDM2"	3.06453593477923	7.34190906593388	24.6444505797866	6.29102390163143e-10	2.65042743346611e-07	13.5713199715038	"Up"
"EPHA2"	3.69933649499192	7.12952588872073	24.4471203484923	6.78271255530903e-10	2.814926944969e-07	13.5006949638341	"Up"
"AL135905.2"	2.16809128073989	7.19312266581712	24.3409058481732	7.06481915161184e-10	2.88888766661351e-07	13.4526870628635	"Up"
"TFDP2"	-1.98071464718967	5.07621976863078	-24.1871450643973	7.49642596860053e-10	3.0209510214914e-07	13.3707814728031	"Down"
"KCTD1"	2.10424432036618	5.32631148269872	24.055840011788	7.88810200140298e-10	3.09841648456993e-07	13.3329010299543	"Up"
"NCS1"	1.75504221664266	6.92236169539314	24.0482204419634	7.91151443589387e-10	3.09841648456993e-07	13.3412465756516	"Up"
"RAP2B"	2.02054127239421	6.02687885879436	23.9552718821693	8.20337469512373e-10	3.12806295976589e-07	13.3125038725717	"Up"
"SLC9A1"	2.68237698203341	6.78930624644923	23.9517331639967	8.2147187550475e-10	3.12806295976589e-07	13.3083561548169	"Up"
"TM7SF3"	2.1043275449316	6.00587969210688	23.9177016386567	8.32470182775934e-10	3.12806295976589e-07	13.2976842050253	"Up"
"DDAH2"	-2.33866313589566	5.01604200256615	-23.8495094995892	8.55000969353698e-10	3.16988759384653e-07	13.2324544195262	"Down"
"FXYD6"	-4.91998862403492	4.37537608689638	-23.6136286033453	9.38283526080222e-10	3.33595769261114e-07	12.7541852861625	"Down"
"TUBB2A"	2.3267473522484	5.57146852767121	23.5969385281754	9.44506912811283e-10	3.33595769261114e-07	13.1648581232314	"Up"
"NME1"	2.53870305505484	6.39241817802074	23.5945323943251	9.45407862167747e-10	3.33595769261114e-07	13.1707149327069	"Up"
"WHRN"	2.48302402153111	4.5716500682315	23.5670638815932	9.55760630977067e-10	3.33595769261114e-07	13.064334904607	"Up"
"ZNF496"	-2.10478478083368	5.31103073108075	-23.5564860776942	9.59780678302853e-10	3.33595769261114e-07	13.1433928716058	"Down"
"SCRIB"	1.79575541692468	6.99962967782321	23.4806786868763	9.89143042094241e-10	3.36689383173059e-07	13.1128663548711	"Up"
"ATF3"	3.71922687696463	4.36708643354178	23.4711629307781	9.92898274479999e-10	3.36689383173059e-07	12.8721318208836	"Up"
"BTBD10"	2.09256322184793	5.04269498201067	23.3585683025515	1.0385468991553e-09	3.47265047533579e-07	13.0512142954218	"Up"
"TMBIM1"	2.04290673642358	7.62314805056681	23.3334020201371	1.04906365506799e-09	3.47265047533579e-07	13.0378204926932	"Up"
"ATP6V0A1"	1.48230554577174	5.97201386263992	23.1892549144253	1.11161270016487e-09	3.63641208715112e-07	13.0095704489541	"Stable"
"CAPN5"	-1.59461435406518	5.45625739035544	-22.9511503951569	1.2241450050422e-09	3.95797395467483e-07	12.9121243901586	"Down"
"IGF1R"	1.5459515080315	8.08072431001054	22.8818177113091	1.25923449700538e-09	4.02462924410709e-07	12.8326581124596	"Up"
"POMZP3"	1.70294847392343	4.76188970379629	22.8123270273832	1.29552109454561e-09	4.05388745202743e-07	12.8275047393996	"Up"
"TUBB"	-1.30681661808474	9.00633718740405	-22.7803814030424	1.31258835844429e-09	4.05388745202743e-07	12.7563564828877	"Stable"
"HIGD1A"	1.73052161881238	5.96402217990867	22.76531613426	1.32072310350935e-09	4.05388745202743e-07	12.8373080274246	"Up"
"YBX3"	1.79294847627881	7.9921215723639	22.7543019620114	1.32670559639825e-09	4.05388745202743e-07	12.7825868492134	"Up"
"FAM171A2"	-2.01643400981771	5.86932811031978	-22.6942790716577	1.35983790964857e-09	4.10996227344436e-07	12.8089409655529	"Down"
"NME4"	-3.74768978055718	6.35495521522198	-22.6522752959709	1.38356661532106e-09	4.13671540920617e-07	12.7918336315426	"Down"
"CDKN1A"	4.43823350050176	10.2144756241502	22.4785037638635	1.48670634152115e-09	4.35211534151934e-07	12.6060340669304	"Up"
"PTP4A1"	2.06233591766462	5.27839274708886	22.4781694943153	1.48691274345227e-09	4.35211534151934e-07	12.7142660382004	"Up"
"ACTN1"	1.97295471135777	8.88508431098804	22.4161240331309	1.52577741145972e-09	4.41935069823428e-07	12.6066493521462	"Up"
